	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000154330	-2.44934236941968	4.74776749558878	-10.6896374189781	7.3593189182206e-17	7.28282550483417e-15	27.9584293478072
ENSG00000227467	-2.61998142528128	-0.536937981106972	-10.849307376213	3.6888999357695e-17	4.28360178090598e-15	27.9423631019195
ENSG00000163686	-1.5007115310281	3.78182187065162	-10.6803265204077	7.66228057860091e-17	7.50866119724457e-15	27.9384602168899
ENSG00000112531	-1.15327515924246	7.33640887489928	-10.6950052016241	7.19015871758451e-17	7.16315650116465e-15	27.930609577904
ENSG00000106089	2.30396076566603	2.72695774737362	10.6757128095202	7.81701461822818e-17	7.62310711968864e-15	27.925704307581
ENSG00000145335	-2.11832066193611	1.98730568218792	-10.6713215477655	7.96720314774048e-17	7.7320359437178e-15	27.8547282011717
ENSG00000232119	0.755152943524183	4.36757487412811	10.6432775943557	8.99715918283223e-17	8.64803496765152e-15	27.7432767576773
ENSG00000234281	-2.59771062045327	1.00042028972279	-10.6809034366793	7.6431497165788e-17	7.50866119724457e-15	27.7280290630492
ENSG00000116678	-2.25189950307417	5.51319569374402	-10.640539374904	9.10463044372489e-17	8.7096629039995e-15	27.7175667339591
ENSG00000087274	-0.707359122434114	8.03932965722225	-10.6376799347196	9.21823620232421e-17	8.74479151243303e-15	27.698735007948
ENSG00000164941	0.833091320753169	5.12288975796973	10.6374255268523	9.22841256725473e-17	8.74479151243303e-15	27.6871036959978
ENSG00000144120	1.39752489065566	2.27984579007717	10.6049784292052	1.06233050796149e-16	9.97250353945716e-15	27.6184690831924
ENSG00000136848	-1.16716497303588	6.58517967307054	-10.6102451981642	1.0383268021629e-16	9.79293292424901e-15	27.5566224402991
ENSG00000131477	-2.2617139654835	4.77307583635777	-10.5945780746189	1.11138059004248e-16	1.03329181581555e-14	27.5466357724595
ENSG00000122707	-1.73364281721391	4.88893190952753	-10.5975384345093	1.09719181618801e-16	1.02518541373958e-14	27.5442392964986
ENSG00000196814	-1.38521358305639	5.17769525319176	-10.5811971331415	1.17784926159756e-16	1.08540430349694e-14	27.4568113276963
